Date,Flow,Local,Mainland,Others
12/16/2021,Arrival,3963,327,73
12/16/2021,Departure,4846,136,54
12/17/2021,Arrival,3768,186,73
12/17/2021,Departure,4579,190,81
12/18/2021,Arrival,4179,254,69
12/18/2021,Departure,4496,201,68
12/19/2021,Arrival,21222,269,54
12/19/2021,Departure,21575,186,93
12/20/2021,Arrival,1858,214,42
12/20/2021,Departure,2175,390,46
12/21/2021,Arrival,3168,189,53
12/21/2021,Departure,4226,172,66
12/22/2021,Arrival,3307,215,60
12/22/2021,Departure,4327,186,75
12/23/2021,Arrival,1539,210,51
12/23/2021,Departure,1937,186,51
12/24/2021,Arrival,5630,172,61
12/24/2021,Departure,6012,117,51
12/25/2021,Arrival,1234,172,31
12/25/2021,Departure,1708,152,39
12/26/2021,Arrival,4189,154,40
12/26/2021,Departure,5457,273,53
12/27/2021,Arrival,1557,123,45
12/27/2021,Departure,2299,170,57
12/28/2021,Arrival,3119,156,39
12/28/2021,Departure,4231,175,46
12/29/2021,Arrival,3776,171,49
12/29/2021,Departure,4464,157,72
12/30/2021,Arrival,3739,162,46
12/30/2021,Departure,4101,158,50
12/31/2021,Arrival,3947,163,37
12/31/2021,Departure,4675,183,73
1/1/2022,Arrival,1171,133,29
1/1/2022,Departure,1831,136,48
1/2/2022,Arrival,6485,158,36
1/2/2022,Departure,6338,213,103
1/3/2022,Arrival,1560,120,30
1/3/2022,Departure,2505,189,44
1/4/2022,Arrival,1268,139,41
1/4/2022,Departure,2621,187,58
1/5/2022,Arrival,5185,132,43
1/5/2022,Departure,2334,199,69
1/6/2022,Arrival,1530,152,40
1/6/2022,Departure,2296,190,58
1/7/2022,Arrival,1318,168,67
1/7/2022,Departure,3370,226,93
1/8/2022,Arrival,1750,180,33
1/8/2022,Departure,2744,224,74
1/9/2022,Arrival,1753,233,24
1/9/2022,Departure,3070,156,110
1/10/2022,Arrival,1049,132,26
1/10/2022,Departure,2252,172,49
1/11/2022,Arrival,1049,154,32
1/11/2022,Departure,2228,179,55
